word,sense_no,sense_def,example
Agreement,2,understanding,I am in agreement one hundred per cent with those racists who say that no government laws ever can force brotherhood.
Agreement,2,understanding,"He was looking at her, soliciting her agreement with his eyes: they were not supposed to watch Nollywood, people like them, and if they did, then only as amusing anthropology."
Agreement,2,understanding,"Besides, “she understands my own temper, and we have a tacit agreement, as it were, not to carp at each other.”"
Agreement,2,understanding,"“Yes,” I said, and instantly regretted my unconditional agreement."
Agreement,2,understanding,"If no agreement could be reached, another meeting would be held."
Agreement,2,understanding,"Only two days ago, she would have left it at that, respecting their unspoken agreement to tread lightly in each other’s pasts."
Agreement,2,understanding,"According to Mom, the office had an unofficial agreement to never bring their kids’ school fund-raising catalogs to work."
Agreement,2,understanding,"The most logical explanation is that the wrestlers made a quid pro quo agreement: you let me win today, when I really need the victory, and I’ll let you win the next time."
Agreement,2,understanding,"Kira nodded agreement, and Thomas left the room to summon the tenders."
Company,1,organization,"Distributor shall not issue, print or disseminate any information about the Products in the first Product Year without the express written consent of the Company."
Company,1,organization,The Distributor shall not disclose this agreement except upon consent of Company.
Company,1,organization,Distributor will have direct access to (a) the Company's engineering consultants and (b) the patent holder's technicians.
Company,1,organization,"Except for the Improved Products for which the Distributor receives the Annual Notice, the Company shall sell Improved Products to Distributor only with the consent of the Distributor."
Company,1,organization,Copies of all documents relating to the use of the Names shall be forwarded to the Company.
Company,1,organization,"Company shall at all times make reasonable efforts to maintain quality control and to deliver Products to Distributor which, when received by Distributor, or, as the case may be, the end-user, are properly and adequately packaged and contained, fully assembled (except for miscellaneous components which may be shipped separately to prevent damage in transit), fully functional and otherwise in conformance with the warranties set forth herein."
Company,1,organization,"Distributor shall submit written reports to the Company each quarter during the first year of the Term, commencing ninety (90) days after execution of this Agreement, describing its efforts, the potential customers it has approached and the status of its efforts."
Company,1,organization,The Company hereby grants the Distributor the right to do business and use the name Electric City of Illinois or a similar variation thereof (collectively the Names ) for use under this Agreement.
Company,1,organization,"If Company terminates the Agreement without cause and for reasons other than Distributor's failure to meet its minimum expectations; it shall repurchase from Distributor any unopened Product, and shall bear all shipping, handling and related costs notwithstanding any other remedies to which Distributor may be entitled."
Company,1,organization,"The Distributor desires to become a distributor for the Company and to develop demand for and sell and distribute Products solely for the use within the State of Illinois, including but not limited to public and private entities, institutions, corporations, public schools, park districts, corrections facilities, airports, government housing authorities and other government agencies and facilities (the Market )."
Company,2,companionship,"And sadly, his good friend Roulin, who has been keeping close company with him, has been transferred to Marseille."
Company,2,companionship,At least someone was glad for her company.
Company,2,companionship,"The out-of-state newcomer, rich and headstrong, contented herself with luxury and even less of their company."
Company,2,companionship,he missed their company
Company,2,companionship,In Mooers Forks there were rumors that a boy seen in his company had disappeared.
Company,2,companionship,"One afternoon, when Mami needs to go out grocery shopping, Baba comes over to keep me company."
Company,2,companionship,"She can be wonderful company, but—she can also be Alice."
Company,2,companionship,"He and his dad drove to Peoria, Illinois, one weekend when Colin was eleven to visit Colin's great-great-aunt Esther, who was in a coma at the time and therefore not very good company."
Company,2,companionship,"Knowing that the children would be left alone locked in the rooms, she decided to keep them company."
Company,2,companionship,"“It’s the company, not the cooking, that makes the meal.”"
Product,1,goods,"Unless Distributor obtains prior authorisation required by applicable Export Laws, Distributor shall not export any Product to Cuba, Iran, North Korea, Sudan or Syria."
Product,1,goods,1 Product Improvements by the Company.
Product,1,goods,"For purposes of this Agreement, a Product Year shall be the twelve (12) month period following the commencement of the initial Term of this Agreement and each twelve (12) months thereafter."
Product,1,goods,2 Product Improvements by the Distributor.
Product,1,goods,6 Product Returns.
Product,1,goods,"If the Distributor shall fail to purchase the minimum number of units in any year, the Distributor's exclusive rights to sell and distribute the Product in the Market, may at Company's sole option, be reevaluated."
Product,1,goods,"In the event that Company is unable or unwilling to promptly perform any warranty work without reasonable cause and following full and fair opportunity to do so, or in the event of the necessity for emergency repairs of a defective Product for which there is no reasonable possibility of performance by Company, Distributor may perform such warranty work or hire a third party to perform such warranty work and the reasonable cost thereof shall be paid by Company."
Product,1,goods,"The Distributor agrees that the Company shall not be liable for its failure to perform due to any occurrence beyond the Company's reasonable control, including, but not limited to, acts of God, fires, Page -4- floods, wars, sabotage, accidents in shipping beyond the Company's control, labor strikes other than strikes against the Company itself, weather conditions or foreign or domestic government regulation or authority which directly affects Company's ability to deliver Product."
Product,1,goods,"Distributor must give Google a reasonable time to fix the problem and (if necessary) to supply Distributor with a corrected or replacement version of the Distribution Product or a way to work-around the problem that is not materially detrimental to Distributor, or to re-perform any relevant services."
Product,1,goods,"EULA means the end user license agreement applicable to a Product, which end user license agreement may be updated or modified by Google in its sole discretion from time to time."
Product,2,consequence,"She was, in her own way, a product of the spirit of American self-construction."
Product,2,consequence,"Only then, convinced that the story had not been some product of his father's imagination, did he wonder how the galleon had been able to get inland to that spot."
Product,2,consequence,"I had merely stumbled upon another lovely adaptation in nature, itself the product of micromutation and natural selection."
Product,2,consequence,"The abuses that have followed from these policies—the sprawling carceral state, the random detention of black people, the torture of suspects—are the product of democratic will."
Product,2,consequence,"It is hard to feel affection for something as totally impersonal as the atmosphere, and yet there it is, as much a part and product of life as wine or bread."
Product,2,consequence,"He had something in reserve, some ingenious product of his counselor’s wits that would overwhelm their scheme."
Product,2,consequence,"“The fact that the white race has the same problems proves these are not Negro characteristics, but the product of our condition as men,” I said."
Product,2,consequence,I was a product of her search for belonging.
Product,2,consequence,So it was quite easy to imagine her the product of an unsatisfied mother who unduly stressed the desirability of professional careers that could save bright girls from marriages to dull men.
Product,2,consequence,"The product of demographic calamity, the newly created wilderness was indeed beautiful."
notice,1,announcement,"if any suspension under this Clause continues for more than 30 days, Distributor may, at any time until use of the distribution or use of the Products or the Google Trademarks is reinstated, terminate this Agreement immediately upon written notice."
notice,1,announcement,"(C) Company will timely furnish all of Distributor's requirements for Products within the Market, provided it is given adequate notice of Distributor's requirements and a full and fair opportunity to fulfill the same."
notice,1,announcement,"Any such notice shall be deemed given when so delivered personally, Page -12- telegraphed, telexed or sent by facsimile transmission or, if mailed, two (2) business days after the date of deposit in the United States mail, by certified mail return receipt requested, as follows: If to the Distributor to: Electric City of Illinois L."
notice,1,announcement,"Company will make reasonable efforts to procure a policy, which is non-cancelable, except upon thirty (30) days, advance notice to the Distributor."
notice,1,announcement,Distributor shall make reasonable efforts to notify the Company of the proposed delivery schedule before accepting a customer order and shall give the Company written notice of any customer purchase orders which imposes liability for late shipment and neither the Distributor nor the Company shall have a liability for consequential or liquidated damages pertaining to late delivery unless Company specifically acknowledges and agrees in writing to the same.
notice,1,announcement,"Either party may terminate this Agreement upon 30 days Page -8- prior written notice to the other upon the occurrence of any of the following events: (A) the Distributor's failure to make full and prompt payment to the Company of all sums due and owing to it; (b) either party's default in the performance of any of the material, terms, conditions, obligations, undertakings, covenants or liabilities set forth herein and such default is not cured within a commercially reasonable time after the defaulting party has been notified of the default by the other party and (c) as otherwise expressly provided herein."
notice,1,announcement,"Any notice or other communication required or permitted hereunder shall be in writing and shall be delivered personally, telegraphed, telexed, or sent by facsimile transmission or sent by certified, registered or express mail, postage prepaid."
notice,1,announcement,"INDEMNITY ADAMS GOLF agrees to defend, indemnify and hold harmless CONSULTANT from any and all liability, claims, causes of action, suits, damages and expenses (including reasonable attorneys' fees and expenses) for which he becomes liable or is compelled to pay by reason of or arising out of any claim or action for personal injury, death or otherwise involving alleged defects in ADAMS GOLF'S PRODUCT, provided that ADAMS GOLF is promptly given notice in writing and is given complete authority and information required for the defense, and ADAMS GOLF shall pay all damages or costs awarded therein against CONSULTANT and any other cost incurred by CONSULTANT in defense of any suit, but shall not be responsible for any cost, expense or compromise incurred or made by CONSULTANT without ADAMS GOLF'S prior written consent."
notice,1,announcement,"In the event either party (a) becomes adjudicated insolvent, (b) discontinues its business, (c) has voluntary of involuntary bankruptcy proceedings instituted against it, or (d) makes an assignment for the benefit of creditors, the other party shall be entitled to terminate this Agreement effective immediately upon written notice."
notice,1,announcement,Company shall promptly respond to any timely notice of defect.
notice,2,observing,"I wore it to greet my father that evening, but he barely seemed to notice."
notice,2,observing,At first the women said it and the men said they were jealous; then men too began to notice and remark on it and wonder why her husband did nothing.
notice,2,observing,"The other children were too busy sniffling and biting their fingernails to notice, and if he hurried, he might even copy the answers down before the pencil woman looked up again."
notice,2,observing,"Something about Holmes must have caused people to take notice, because both Thomas and his clerk remembered him."
notice,2,observing,They don’t seem to notice I am smelly.
notice,2,observing,"The breeze just blew it out again, but she didn't seem to notice."
notice,2,observing,"Mark pointed the gun at the people on the hatch door of the Berg and fired off two quick shots, knowing he needed to get their attention immediately so they wouldn’t notice Alec."
notice,2,observing,"From a caretaker who had a radio, we also learned that news reporters from the outside world had begun to take notice of the Lost Boys."
notice,2,observing,"No one appeared to notice, or even care."
notice,2,observing,“I don’t think the Red Guards will notice them.”
