word,sense_no,sense_def,example
past,1,time,"Finally, one evening, Donald breaks down and tells Timmy about his past in the army and how he and his fellow soldier and lover of four months, Kyle Griffin, were discovered during a moment of intimacy."
past,1,time,He immediately confronts both men for the way they've mistreated him in the past.
past,1,time,"The Princess, determined to make amends for all the girls whose names had been chosen in the past, descends into the dragon's cave and to her death."
past,1,time,"In parallel with Travis' experiences, the film shows 1960s Britain retreating from its imperial past, but managing to retain some influence in the world by means of corrupt dealings with foreign dictators."
past,1,time,"Henry does not believe that the toy store is magical, arguing with Molly over its properties and debating the actuality of Magorium's records from the past 200 years."
past,1,time,"Brandon becomes romantically involved with Lana, who is unaware of his biological sex and troubled past."
past,1,time,"During the lengthy battle, Liu faces not only Tsung, but the souls that Tsung had forcibly taken in past tournaments."
past,1,time,"Three years later, while coping with her past tragedy, Jenna is invited to stay for the weekend in a lakeside cabin by her best friend Renee (Christina Ulloa)."
past,1,time,"Now a 17-year-old loner, Sean Donovan (Caleb Steinmeyer, HBOs True Blood, ABCs Lost) is relentlessly haunted by his past and obsessed with finding his mothers killer."
past,1,time,Kyle tells Cornell a story about a former soldier who was discharged for being gaya story Strachey draws upon from his own past in his bid to be believable as an aspiring ex-gay.
past,1,time,"In Cambodia, Pran has become a forced labourer under the Khmer Rouge's Year Zero policy, a return to the agrarian ways of the past."
past,1,time,"Back in the past, Joon-ha is guilt-ridden over his friend's attempted suicide and Joo-hee's own guilt."
past,1,time,"Events force them to confront the truth of their past and the frightening, beautiful reality of their present."
past,2,pass,"After a frantic race against the clock the family arrives at the hotel, and are curtly told by a pageant organizer that they are a couple minutes past the deadline."
past,2,pass,"Meanwhile, the Surfer's movements around the globe bring him past Latveria, where the cosmic energy affects Victor Von Doom, freeing him from two years encased in metal."
past,2,pass,"The two pass by opposite lanes and the Road Runner signals the coyote, who stops cold after a few seconds and turns back, and after again running past the bird, he reverses only to find the Road Runner has escaped to a lower track."
past,2,pass,"Meanwhile, Zariatin calls Hawk to remind him that his service fees are long past due."
